text,rating,label,text_clean,text_final
"Hotel yang harganya terjangakau, bersih, makanannya enak, yg paling penting manager dan karyawannya ramah², terletak di tengah kota tomohon, walaupun dapat kamar di 205 viewnya lumayan horor. (noted: dekat rm, angkringan yg buka sampai larut malam, banyakan non halal ya gaes)",5,Positif,hotel yang harganya terjangakau bersih makanannya enak yg paling penting manager dan karyawannya ramah terletak di tengah kota tomohon walaupun dapat kamar di viewnya lumayan horor noted dekat rm angkringan yg buka sampai larut malam banyakan non halal ya gaes,hotel harganya terjangakau bersih makanannya enak yg paling penting manager karyawannya ramah terletak tengah kota tomohon walaupun kamar viewnya lumayan horor noted dekat rm angkringan yg buka larut malam banyakan non halal gaes
Salah satu hotel berbintang di Manado. Lokasinya cukup dekat ke pusat perbelanjaan Manado Town Square. Interior kamar terlihat sudah tua namun terawat dengan baik. Harga standar hotel bintang 5. Untuk sarapannya sangat bervariatif dan enak.,5,Positif,salah satu hotel berbintang di manado lokasinya cukup dekat ke pusat perbelanjaan manado town square interior kamar terlihat sudah tua namun terawat dengan baik harga standar hotel bintang untuk sarapannya sangat bervariatif dan enak,salah satu hotel berbintang manado lokasinya cukup dekat pusat perbelanjaan manado town square interior kamar terlihat tua terawat baik harga standar hotel bintang sarapannya sangat bervariatif enak
Itu adalah tempat yang bagus untuk menginap. Suasana dan staf ramah dan membantu. Saya tinggal di sini dua kali untuk kunjungan saya ke Pulau Siau untuk Karangetang - gunung berapi. Hotel ini berada dalam jarak berjalan kaki ke pusat perbelanjaan dan restoran,4,Positif,itu adalah tempat yang bagus untuk menginap suasana dan staf ramah dan membantu saya tinggal di sini dua kali untuk kunjungan saya ke pulau siau untuk karangetang gunung berapi hotel ini berada dalam jarak berjalan kaki ke pusat perbelanjaan dan restoran,adalah tempat bagus menginap suasana staf ramah membantu tinggal sini kali kunjungan pulau siau karangetang gunung berapi hotel berada jarak berjalan kaki ke pusat perbelanjaan restoran
"Kamarnya bersih,Strategis,dekat dengan pertokoan,Pelayannya sangat Ramah,makanan pagi banyak menu pilihan dan sangat Enakkkk...,Ruangan pertemuannya sangat luas..
Kamar mandi dan wcnya bagus dan bersih..",5,Positif,kamarnya bersihstrategisdekat dengan pertokoanpelayannya sangat ramahmakanan pagi banyak menu pilihan dan sangat enakkkkruangan pertemuannya sangat luas kamar mandi dan wcnya bagus dan bersih,kamarnya bersihstrategisdekat pertokoanpelayannya sangat ramahmakanan pagi banyak menu pilihan sangat enakkkkruangan pertemuannya sangat luas kamar mandi wcnya bagus bersih
Sampai sudah malam tapi staff yang melayani sangat ramah. Saya dikasih waktu untuk late checkout. Tempat dekat dengan restaurant dan mall besar di manado. Kamar besar bersih dengan kamar mandi yg bersih juga. Senang karena di hotel ini juga ada ibadah gereja yang saya ikuti. Breakfastnya sangat menyenangkan. Makanan yg beragam dengan ciri khas manado juga. Cuma sayang wifinya tdk mudah diakses. Selalu putus dan tidak kencang.,4,Positif,sampai sudah malam tapi staff yang melayani sangat ramah saya dikasih waktu untuk late checkout tempat dekat dengan restaurant dan mall besar di manado kamar besar bersih dengan kamar mandi yg bersih juga senang karena di hotel ini juga ada ibadah gereja yang saya ikuti breakfastnya sangat menyenangkan makanan yg beragam dengan ciri khas manado juga cuma sayang wifinya tdk mudah diakses selalu putus dan tidak kencang,sudah malam staff melayani sangat ramah dikasih waktu late checkout tempat dekat restaurant mall besar manado kamar besar bersih kamar mandi yg bersih senang di hotel ibadah gereja saya ikuti breakfastnya sangat menyenangkan makanan yg beragam ciri khas manado juga cuma sayang wifinya tdk mudah diakses selalu putus tidak kencang
"Saya dan teman-teman saya menginap di hotel ini selama seminggu. Kamar cukup luas dan bersih. Staf ramah. sarapan di restoran ada banyak variasi tapi menu klappertart hanya disajikan satu kali dalam seminggu. Bubur manadonya enak. pasteriesnya enak. buahnya cukup segar dan manis. Lokasinya sangat strategis. di samping kanan hotel ada indomart. Star Square dan Mantos terletak sangat dekat dengan hotel ini. Hotel ini tidak memiliki seaview tapi jaraknya cukup dekat dengan laut. Disamping kiri hotel, ada banyak restoran. 
Sayangnya tidak ada hairdryer di kamar. Wifi di kamar juga sering tidak stabil.",4,Positif,saya dan temanteman saya menginap di hotel ini selama seminggu kamar cukup luas dan bersih staf ramah sarapan di restoran ada banyak variasi tapi menu klappertart hanya disajikan satu kali dalam seminggu bubur manadonya enak pasteriesnya enak buahnya cukup segar dan manis lokasinya sangat strategis di samping kanan hotel ada indomart star square dan mantos terletak sangat dekat dengan hotel ini hotel ini tidak memiliki seaview tapi jaraknya cukup dekat dengan laut disamping kiri hotel ada banyak restoran sayangnya tidak ada hairdryer di kamar wifi di kamar juga sering tidak stabil,temanteman menginap hotel selama seminggu kamar cukup luas bersih staf ramah sarapan restoran banyak variasi menu klappertart disajikan satu kali seminggu bubur manadonya enak pasteriesnya enak buahnya cukup segar manis lokasinya sangat strategis samping kanan hotel indomart star square dan mantos terletak sangat dekat hotel hotel memiliki seaview jaraknya cukup dekat laut disamping kiri hotel banyak restoran sayangnya ada hairdryer kamar wifi kamar sering tidak stabil
"Hotel yang selalu saya tempati saat berada di Manado.
 Dari luar memang hotel ini kelihatan sudah berumur,namun saat memasuki nya anda akan merasakan sangat nyaman. dari segi interior,suasana,danstaff yang sangat ramah.
Sarapan pagi sangat beragam dan selalu di jaga dalam kondisi yang baik.
",4,Positif,hotel yang selalu saya tempati saat berada di manado dari luar memang hotel ini kelihatan sudah berumurnamun saat memasuki nya anda akan merasakan sangat nyaman dari segi interiorsuasanadanstaff yang sangat ramah sarapan pagi sangat beragam dan selalu di jaga dalam kondisi yang baik,hotel selalu tempati berada manado luar memang hotel kelihatan berumurnamun memasuki nya akan merasakan sangat nyaman segi interiorsuasanadanstaff sangat ramah sarapan pagi sangat beragam selalu jaga kondisi baik
"Saya menginap selama 6 malam, ini adalah kedua kalinya saya menginap di sini. Semua staf di resepsionis sangat ramah dan membantu. Terima kasih semuanya.
Saya mencoba beberapa makanan di restoran. Semua baik. Para pelayan ramah dan membantu. Terima kasih semuanya
Staf layanan kebersihan berbicara dengan keras satu sama lain. Mereka harus menurunkan suara.",5,Positif,saya menginap selama malam ini adalah kedua kalinya saya menginap di sini semua staf di resepsionis sangat ramah dan membantu terima kasih semuanya saya mencoba beberapa makanan di restoran semua baik para pelayan ramah dan membantu terima kasih semuanya staf layanan kebersihan berbicara dengan keras satu sama lain mereka harus menurunkan suara,menginap selama malam adalah kedua kalinya menginap sini semua staf resepsionis sangat ramah membantu terima kasih semuanya mencoba beberapa makanan restoran semua baik pelayan ramah membantu terima kasih semuanya staf layanan kebersihan berbicara keras satu sama mereka menurunkan suara
"Sapaan dan senyuman diberikan pada tamu, mulai dari turun mobil sampai sesaat sebelum masuk kamar. Oleh setiap karyawan. Welcome drink hangat, minuman khas Manado selalu menyapa setiap tamu. Tidak lupa, GRO mengantar sampai ke lift dg penuh senyum. Kamar hotel yang bersih, kasir dan bantal yang nyaman dan shower air hangat sangat baik. Makanan juga lengkap dan baik.",4,Positif,sapaan dan senyuman diberikan pada tamu mulai dari turun mobil sampai sesaat sebelum masuk kamar oleh setiap karyawan welcome drink hangat minuman khas manado selalu menyapa setiap tamu tidak lupa gro mengantar sampai ke lift dg penuh senyum kamar hotel yang bersih kasir dan bantal yang nyaman dan shower air hangat sangat baik makanan juga lengkap dan baik,sapaan senyuman diberikan tamu mulai turun mobil sesaat masuk kamar karyawan welcome drink hangat minuman khas manado selalu menyapa setiap tamu lupa gro mengantar ke lift dg penuh senyum kamar hotel bersih kasir bantal nyaman shower air hangat sangat baik makanan lengkap baik
"Plus :
- Kamar luas, terang dan nyaman.
- Menu makan bervariasi.
- Laundry aman dan bersih, tidak ada yang hilang.
- Pelayanan ok.

Minus:
- Interior kamar yang agak lama (tidak modern). 

Secara keseluruhan cukup menyenangkan.",5,Positif,plus kamar luas terang dan nyaman menu makan bervariasi laundry aman dan bersih tidak ada yang hilang pelayanan ok minus interior kamar yang agak lama tidak modern secara keseluruhan cukup menyenangkan,plus kamar luas terang nyaman menu makan bervariasi laundry aman bersih ada hilang pelayanan minus interior kamar agak lama modern keseluruhan cukup menyenangkan
