text_clean,tokens
hotel harganya terjangakau bersih makanannya enak yg paling penting manager karyawannya ramah terletak tengah kota tomohon walaupun kamar viewnya lumayan horor noted dekat rm angkringan yg buka larut malam banyakan non halal gaes,"['hotel', 'harganya', 'terjangakau', 'bersih', 'makanannya', 'enak', 'yg', 'paling', 'penting', 'manager', 'karyawannya', 'ramah', 'terletak', 'tengah', 'kota', 'tomohon', 'walaupun', 'kamar', 'viewnya', 'lumayan', 'horor', 'noted', 'dekat', 'rm', 'angkringan', 'yg', 'buka', 'larut', 'malam', 'banyakan', 'non', 'halal', 'gaes']"
salah satu hotel berbintang manado lokasinya cukup dekat pusat perbelanjaan manado town square interior kamar terlihat tua terawat baik harga standar hotel bintang sarapannya sangat bervariatif enak,"['salah', 'satu', 'hotel', 'berbintang', 'manado', 'lokasinya', 'cukup', 'dekat', 'pusat', 'perbelanjaan', 'manado', 'town', 'square', 'interior', 'kamar', 'terlihat', 'tua', 'terawat', 'baik', 'harga', 'standar', 'hotel', 'bintang', 'sarapannya', 'sangat', 'bervariatif', 'enak']"
adalah tempat bagus menginap suasana staf ramah membantu tinggal sini kali kunjungan pulau siau karangetang gunung berapi hotel berada jarak berjalan kaki ke pusat perbelanjaan restoran,"['adalah', 'tempat', 'bagus', 'menginap', 'suasana', 'staf', 'ramah', 'membantu', 'tinggal', 'sini', 'kali', 'kunjungan', 'pulau', 'siau', 'karangetang', 'gunung', 'berapi', 'hotel', 'berada', 'jarak', 'berjalan', 'kaki', 'ke', 'pusat', 'perbelanjaan', 'restoran']"
kamarnya bersihstrategisdekat pertokoanpelayannya sangat ramahmakanan pagi banyak menu pilihan sangat enakkkkruangan pertemuannya sangat luas kamar mandi wcnya bagus bersih,"['kamarnya', 'bersihstrategisdekat', 'pertokoanpelayannya', 'sangat', 'ramahmakanan', 'pagi', 'banyak', 'menu', 'pilihan', 'sangat', 'enakkkkruangan', 'pertemuannya', 'sangat', 'luas', 'kamar', 'mandi', 'wcnya', 'bagus', 'bersih']"
sudah malam staff melayani sangat ramah dikasih waktu late checkout tempat dekat restaurant mall besar manado kamar besar bersih kamar mandi yg bersih senang di hotel ibadah gereja saya ikuti breakfastnya sangat menyenangkan makanan yg beragam ciri khas manado juga cuma sayang wifinya tdk mudah diakses selalu putus tidak kencang,"['sudah', 'malam', 'staff', 'melayani', 'sangat', 'ramah', 'dikasih', 'waktu', 'late', 'checkout', 'tempat', 'dekat', 'restaurant', 'mall', 'besar', 'manado', 'kamar', 'besar', 'bersih', 'kamar', 'mandi', 'yg', 'bersih', 'senang', 'di', 'hotel', 'ibadah', 'gereja', 'saya', 'ikuti', 'breakfastnya', 'sangat', 'menyenangkan', 'makanan', 'yg', 'beragam', 'ciri', 'khas', 'manado', 'juga', 'cuma', 'sayang', 'wifinya', 'tdk', 'mudah', 'diakses', 'selalu', 'putus', 'tidak', 'kencang']"
temanteman menginap hotel selama seminggu kamar cukup luas bersih staf ramah sarapan restoran banyak variasi menu klappertart disajikan satu kali seminggu bubur manadonya enak pasteriesnya enak buahnya cukup segar manis lokasinya sangat strategis samping kanan hotel indomart star square dan mantos terletak sangat dekat hotel hotel memiliki seaview jaraknya cukup dekat laut disamping kiri hotel banyak restoran sayangnya ada hairdryer kamar wifi kamar sering tidak stabil,"['temanteman', 'menginap', 'hotel', 'selama', 'seminggu', 'kamar', 'cukup', 'luas', 'bersih', 'staf', 'ramah', 'sarapan', 'restoran', 'banyak', 'variasi', 'menu', 'klappertart', 'disajikan', 'satu', 'kali', 'seminggu', 'bubur', 'manadonya', 'enak', 'pasteriesnya', 'enak', 'buahnya', 'cukup', 'segar', 'manis', 'lokasinya', 'sangat', 'strategis', 'samping', 'kanan', 'hotel', 'indomart', 'star', 'square', 'dan', 'mantos', 'terletak', 'sangat', 'dekat', 'hotel', 'hotel', 'memiliki', 'seaview', 'jaraknya', 'cukup', 'dekat', 'laut', 'disamping', 'kiri', 'hotel', 'banyak', 'restoran', 'sayangnya', 'ada', 'hairdryer', 'kamar', 'wifi', 'kamar', 'sering', 'tidak', 'stabil']"
hotel selalu tempati berada manado luar memang hotel kelihatan berumurnamun memasuki nya akan merasakan sangat nyaman segi interiorsuasanadanstaff sangat ramah sarapan pagi sangat beragam selalu jaga kondisi baik,"['hotel', 'selalu', 'tempati', 'berada', 'manado', 'luar', 'memang', 'hotel', 'kelihatan', 'berumurnamun', 'memasuki', 'nya', 'akan', 'merasakan', 'sangat', 'nyaman', 'segi', 'interiorsuasanadanstaff', 'sangat', 'ramah', 'sarapan', 'pagi', 'sangat', 'beragam', 'selalu', 'jaga', 'kondisi', 'baik']"
menginap selama malam adalah kedua kalinya menginap sini semua staf resepsionis sangat ramah membantu terima kasih semuanya mencoba beberapa makanan restoran semua baik pelayan ramah membantu terima kasih semuanya staf layanan kebersihan berbicara keras satu sama mereka menurunkan suara,"['menginap', 'selama', 'malam', 'adalah', 'kedua', 'kalinya', 'menginap', 'sini', 'semua', 'staf', 'resepsionis', 'sangat', 'ramah', 'membantu', 'terima', 'kasih', 'semuanya', 'mencoba', 'beberapa', 'makanan', 'restoran', 'semua', 'baik', 'pelayan', 'ramah', 'membantu', 'terima', 'kasih', 'semuanya', 'staf', 'layanan', 'kebersihan', 'berbicara', 'keras', 'satu', 'sama', 'mereka', 'menurunkan', 'suara']"
sapaan senyuman diberikan tamu mulai turun mobil sesaat masuk kamar karyawan welcome drink hangat minuman khas manado selalu menyapa setiap tamu lupa gro mengantar ke lift dg penuh senyum kamar hotel bersih kasir bantal nyaman shower air hangat sangat baik makanan lengkap baik,"['sapaan', 'senyuman', 'diberikan', 'tamu', 'mulai', 'turun', 'mobil', 'sesaat', 'masuk', 'kamar', 'karyawan', 'welcome', 'drink', 'hangat', 'minuman', 'khas', 'manado', 'selalu', 'menyapa', 'setiap', 'tamu', 'lupa', 'gro', 'mengantar', 'ke', 'lift', 'dg', 'penuh', 'senyum', 'kamar', 'hotel', 'bersih', 'kasir', 'bantal', 'nyaman', 'shower', 'air', 'hangat', 'sangat', 'baik', 'makanan', 'lengkap', 'baik']"
plus kamar luas terang nyaman menu makan bervariasi laundry aman bersih ada hilang pelayanan minus interior kamar agak lama modern keseluruhan cukup menyenangkan,"['plus', 'kamar', 'luas', 'terang', 'nyaman', 'menu', 'makan', 'bervariasi', 'laundry', 'aman', 'bersih', 'ada', 'hilang', 'pelayanan', 'minus', 'interior', 'kamar', 'agak', 'lama', 'modern', 'keseluruhan', 'cukup', 'menyenangkan']"
