text,rating,label
"Hotel yang harganya terjangakau, bersih, makanannya enak, yg paling penting manager dan karyawannya ramah², terletak di tengah kota tomohon, walaupun dapat kamar di 205 viewnya lumayan horor. (noted: dekat rm, angkringan yg buka sampai larut malam, banyakan non halal ya gaes)",5,Positif
Salah satu hotel berbintang di Manado. Lokasinya cukup dekat ke pusat perbelanjaan Manado Town Square. Interior kamar terlihat sudah tua namun terawat dengan baik. Harga standar hotel bintang 5. Untuk sarapannya sangat bervariatif dan enak.,5,Positif
Itu adalah tempat yang bagus untuk menginap. Suasana dan staf ramah dan membantu. Saya tinggal di sini dua kali untuk kunjungan saya ke Pulau Siau untuk Karangetang - gunung berapi. Hotel ini berada dalam jarak berjalan kaki ke pusat perbelanjaan dan restoran,4,Positif
"Kamarnya bersih,Strategis,dekat dengan pertokoan,Pelayannya sangat Ramah,makanan pagi banyak menu pilihan dan sangat Enakkkk...,Ruangan pertemuannya sangat luas..
Kamar mandi dan wcnya bagus dan bersih..",5,Positif
Sampai sudah malam tapi staff yang melayani sangat ramah. Saya dikasih waktu untuk late checkout. Tempat dekat dengan restaurant dan mall besar di manado. Kamar besar bersih dengan kamar mandi yg bersih juga. Senang karena di hotel ini juga ada ibadah gereja yang saya ikuti. Breakfastnya sangat menyenangkan. Makanan yg beragam dengan ciri khas manado juga. Cuma sayang wifinya tdk mudah diakses. Selalu putus dan tidak kencang.,4,Positif
"Saya dan teman-teman saya menginap di hotel ini selama seminggu. Kamar cukup luas dan bersih. Staf ramah. sarapan di restoran ada banyak variasi tapi menu klappertart hanya disajikan satu kali dalam seminggu. Bubur manadonya enak. pasteriesnya enak. buahnya cukup segar dan manis. Lokasinya sangat strategis. di samping kanan hotel ada indomart. Star Square dan Mantos terletak sangat dekat dengan hotel ini. Hotel ini tidak memiliki seaview tapi jaraknya cukup dekat dengan laut. Disamping kiri hotel, ada banyak restoran. 
Sayangnya tidak ada hairdryer di kamar. Wifi di kamar juga sering tidak stabil.",4,Positif
"Hotel yang selalu saya tempati saat berada di Manado.
 Dari luar memang hotel ini kelihatan sudah berumur,namun saat memasuki nya anda akan merasakan sangat nyaman. dari segi interior,suasana,danstaff yang sangat ramah.
Sarapan pagi sangat beragam dan selalu di jaga dalam kondisi yang baik.
",4,Positif
"Saya menginap selama 6 malam, ini adalah kedua kalinya saya menginap di sini. Semua staf di resepsionis sangat ramah dan membantu. Terima kasih semuanya.
Saya mencoba beberapa makanan di restoran. Semua baik. Para pelayan ramah dan membantu. Terima kasih semuanya
Staf layanan kebersihan berbicara dengan keras satu sama lain. Mereka harus menurunkan suara.",5,Positif
"Sapaan dan senyuman diberikan pada tamu, mulai dari turun mobil sampai sesaat sebelum masuk kamar. Oleh setiap karyawan. Welcome drink hangat, minuman khas Manado selalu menyapa setiap tamu. Tidak lupa, GRO mengantar sampai ke lift dg penuh senyum. Kamar hotel yang bersih, kasir dan bantal yang nyaman dan shower air hangat sangat baik. Makanan juga lengkap dan baik.",4,Positif
"Plus :
- Kamar luas, terang dan nyaman.
- Menu makan bervariasi.
- Laundry aman dan bersih, tidak ada yang hilang.
- Pelayanan ok.

Minus:
- Interior kamar yang agak lama (tidak modern). 

Secara keseluruhan cukup menyenangkan.",5,Positif
